Filename,Zone,Easting,Northing,Date,Time
32U 373272 5463621_21022024_100742.jpg,32U,373272,5463621,21022024,100742
32U 373273 5463621_21022024_100747.jpg,32U,373273,5463621,21022024,100747
32U 373273 5463625_21022024_100810.jpg,32U,373273,5463625,21022024,100810
32U 373340 5463704_21022024_100621.jpg,32U,373340,5463704,21022024,100621
32U 373341 5463707_21022024_100611.jpg,32U,373341,5463707,21022024,100611
32U 373342 5463707_21022024_100613.jpg,32U,373342,5463707,21022024,100613
32U 373364 5463730_21022024_100541.jpg,32U,373364,5463730,21022024,100541
32U 373366 5463738_21022024_100529.jpg,32U,373366,5463738,21022024,100529
32U 373379 5463759_21022024_100455.jpg,32U,373379,5463759,21022024,100455
32U 373380 5463758_21022024_100453.jpg,32U,373380,5463758,21022024,100453
32U 373380 5463759_21022024_100502.jpg,32U,373380,5463759,21022024,100502
32U 373395 5463752_21022024_100422.jpg,32U,373395,5463752,21022024,100422
32U 373398 5463754_21022024_100431.jpg,32U,373398,5463754,21022024,100431
32U 373400 5463522_21022024_102052.jpg,32U,373400,5463522,21022024,102052
32U 373401 5463521_21022024_102055.jpg,32U,373401,5463521,21022024,102055
32U 373402 5463482_21022024_101928.jpg,32U,373402,5463482,21022024,101928
32U 373402 5463521_21022024_102057.jpg,32U,373402,5463521,21022024,102057
32U 373431 5463653_21022024_103102.jpg,32U,373431,5463653,21022024,103102
32U 373432 5463494_21022024_101703.jpg,32U,373432,5463494,21022024,101703
32U 373432 5463653_21022024_103105.jpg,32U,373432,5463653,21022024,103105
32U 373437 5463653_21022024_103118.jpg,32U,373437,5463653,21022024,103118
32U 373438 5463733_21022024_100337.jpg,32U,373438,5463733,21022024,100337
32U 373445 5463747_21022024_100315.jpg,32U,373445,5463747,21022024,100315
32U 373445 5463748_21022024_100308.jpg,32U,373445,5463748,21022024,100308
32U 373463 5463518_21022024_102737.jpg,32U,373463,5463518,21022024,102737
32U 373463 5463618_21022024_103009.jpg,32U,373463,5463618,21022024,103009
32U 373463 5463618_21022024_103011.jpg,32U,373463,5463618,21022024,103011
32U 373464 5463519_21022024_102735.jpg,32U,373464,5463519,21022024,102735
32U 373467 5463717_21022024_101158.jpg,32U,373467,5463717,21022024,101158
32U 373506 5463593_21022024_102907.jpg,32U,373506,5463593,21022024,102907
32U 373506 5463936_21022024_104620.jpg,32U,373506,5463936,21022024,104620
32U 373506 5463936_21022024_104625.jpg,32U,373506,5463936,21022024,104625
32U 373509 5463592_21022024_102903.jpg,32U,373509,5463592,21022024,102903
32U 373777 5464156_21022024_104154.jpg,32U,373777,5464156,21022024,104154
32U 373781 5464165_21022024_104205.jpg,32U,373781,5464165,21022024,104205
32U 373793 5464158_21022024_104220.jpg,32U,373793,5464158,21022024,104220
32U 373959 5464372_21022024_105441.jpg,32U,373959,5464372,21022024,105441
32U 373960 5464371_21022024_105453.jpg,32U,373960,5464371,21022024,105453
32U 373960 5464371_21022024_105505.jpg,32U,373960,5464371,21022024,105505
32U 374019 5464555_21022024_110154.jpg,32U,374019,5464555,21022024,110154
32U 374020 5464554_21022024_110149.jpg,32U,374020,5464554,21022024,110149
32U 374020 5464558_21022024_110445.jpg,32U,374020,5464558,21022024,110445
32U 374029 5464550_21022024_110135.jpg,32U,374029,5464550,21022024,110135
32U 374031 5464549_21022024_110120.jpg,32U,374031,5464549,21022024,110120
32U 374034 5464543_21022024_110110.jpg,32U,374034,5464543,21022024,110110
32U 374057 5464499_21022024_105828.jpg,32U,374057,5464499,21022024,105828
32U 374058 5464498_21022024_105823.jpg,32U,374058,5464498,21022024,105823
32U 374063 5464507_21022024_105808.jpg,32U,374063,5464507,21022024,105808
32U 374067 5464526_21022024_110047.jpg,32U,374067,5464526,21022024,110047
32U 374068 5464525_21022024_110044.jpg,32U,374068,5464525,21022024,110044
32U 374070 5464513_21022024_105757.jpg,32U,374070,5464513,21022024,105757
32U 374083 5464520_21022024_105947.jpg,32U,374083,5464520,21022024,105947
32U 374084 5464523_21022024_105911.jpg,32U,374084,5464523,21022024,105911
32U 374085 5464524_21022024_105905.jpg,32U,374085,5464524,21022024,105905
32U 374085 5464524_21022024_105926.jpg,32U,374085,5464524,21022024,105926
32U 374085 5464524_21022024_105928.jpg,32U,374085,5464524,21022024,105928
32U 374188 5464763_21022024_112237.jpg,32U,374188,5464763,21022024,112237
